SNMP sw1_ifip table:
1.3.6.1.2.1.4.20.1.1.1.1.1.3 = 1.1.1.3
1.3.6.1.2.1.4.20.1.1.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.20.1.1.10.0.11.1 = 10.0.11.1
1.3.6.1.2.1.4.20.1.1.10.0.20.1 = 10.0.20.1
1.3.6.1.2.1.4.20.1.1.10.0.21.1 = 10.0.21.1
1.3.6.1.2.1.4.20.1.1.10.0.23.1 = 10.0.23.1
1.3.6.1.2.1.4.20.1.1.10.0.24.1 = 10.0.24.1
1.3.6.1.2.1.4.20.1.1.10.0.25.1 = 10.0.25.1
1.3.6.1.2.1.4.20.1.1.10.0.26.1 = 10.0.26.1
1.3.6.1.2.1.4.20.1.1.10.0.27.1 = 10.0.27.1
1.3.6.1.2.1.4.20.1.1.10.0.28.1 = 10.0.28.1
1.3.6.1.2.1.4.20.1.1.10.0.29.1 = 10.0.29.1
1.3.6.1.2.1.4.20.1.1.10.0.30.1 = 10.0.30.1
1.3.6.1.2.1.4.20.1.1.10.0.31.1 = 10.0.31.1
1.3.6.1.2.1.4.20.1.1.10.0.32.1 = 10.0.32.1
1.3.6.1.2.1.4.20.1.1.10.0.33.1 = 10.0.33.1
1.3.6.1.2.1.4.20.1.1.10.0.34.1 = 10.0.34.1
1.3.6.1.2.1.4.20.1.1.10.0.35.1 = 10.0.35.1
1.3.6.1.2.1.4.20.1.1.10.0.36.1 = 10.0.36.1
1.3.6.1.2.1.4.20.1.1.10.0.37.1 = 10.0.37.1
1.3.6.1.2.1.4.20.1.1.10.0.124.1 = 10.0.124.1
1.3.6.1.2.1.4.20.1.1.10.0.125.1 = 10.0.125.1
1.3.6.1.2.1.4.20.1.1.10.0.126.1 = 10.0.126.1
1.3.6.1.2.1.4.20.1.1.10.0.127.1 = 10.0.127.1
1.3.6.1.2.1.4.20.1.1.10.0.128.1 = 10.0.128.1
1.3.6.1.2.1.4.20.1.1.10.0.129.1 = 10.0.129.1
