SNMP sw1_ifname table:
1.3.6.1.2.1.31.1.1.1.1.1 = Gi0/0
1.3.6.1.2.1.31.1.1.1.1.2 = Nu0
1.3.6.1.2.1.31.1.1.1.1.3 = Gi1/0/1
1.3.6.1.2.1.31.1.1.1.1.4 = Gi1/0/2
1.3.6.1.2.1.31.1.1.1.1.5 = Gi1/0/3
1.3.6.1.2.1.31.1.1.1.1.6 = Gi1/0/4
1.3.6.1.2.1.31.1.1.1.1.7 = Gi1/0/5
1.3.6.1.2.1.31.1.1.1.1.8 = Gi1/0/6
1.3.6.1.2.1.31.1.1.1.1.9 = Gi1/0/7
1.3.6.1.2.1.31.1.1.1.1.10 = Gi1/0/8
1.3.6.1.2.1.31.1.1.1.1.11 = Gi1/0/9
1.3.6.1.2.1.31.1.1.1.1.12 = Gi1/0/10
1.3.6.1.2.1.31.1.1.1.1.13 = Gi1/0/11
1.3.6.1.2.1.31.1.1.1.1.14 = Gi1/0/12
1.3.6.1.2.1.31.1.1.1.1.15 = Gi1/0/13
1.3.6.1.2.1.31.1.1.1.1.16 = Gi1/0/14
1.3.6.1.2.1.31.1.1.1.1.17 = Gi1/0/15
1.3.6.1.2.1.31.1.1.1.1.18 = Gi1/0/16
1.3.6.1.2.1.31.1.1.1.1.19 = Gi1/0/17
1.3.6.1.2.1.31.1.1.1.1.20 = Gi1/0/18
1.3.6.1.2.1.31.1.1.1.1.21 = Gi1/0/19
1.3.6.1.2.1.31.1.1.1.1.22 = Gi1/0/20
1.3.6.1.2.1.31.1.1.1.1.23 = Gi1/0/21
1.3.6.1.2.1.31.1.1.1.1.24 = Gi1/0/22
1.3.6.1.2.1.31.1.1.1.1.25 = Gi1/0/23
1.3.6.1.2.1.31.1.1.1.1.26 = Gi1/0/24
1.3.6.1.2.1.31.1.1.1.1.27 = Gi1/1/1
1.3.6.1.2.1.31.1.1.1.1.28 = Gi1/1/2
1.3.6.1.2.1.31.1.1.1.1.29 = Gi1/1/3
1.3.6.1.2.1.31.1.1.1.1.30 = Gi1/1/4
1.3.6.1.2.1.31.1.1.1.1.31 = Te1/1/1
1.3.6.1.2.1.31.1.1.1.1.32 = Te1/1/2
1.3.6.1.2.1.31.1.1.1.1.33 = Te1/1/3
1.3.6.1.2.1.31.1.1.1.1.34 = Te1/1/4
1.3.6.1.2.1.31.1.1.1.1.35 = StackPort1
1.3.6.1.2.1.31.1.1.1.1.36 = StackSub-St1-1
1.3.6.1.2.1.31.1.1.1.1.37 = StackSub-St1-2
1.3.6.1.2.1.31.1.1.1.1.38 = Vl1
1.3.6.1.2.1.31.1.1.1.1.39 = Lo0
1.3.6.1.2.1.31.1.1.1.1.40 = Po1
1.3.6.1.2.1.31.1.1.1.1.41 = Po2
1.3.6.1.2.1.31.1.1.1.1.42 = Po4
1.3.6.1.2.1.31.1.1.1.1.43 = Po9
1.3.6.1.2.1.31.1.1.1.1.45 = Vl20
1.3.6.1.2.1.31.1.1.1.1.46 = Vl21
1.3.6.1.2.1.31.1.1.1.1.47 = Vl23
1.3.6.1.2.1.31.1.1.1.1.48 = Vl24
1.3.6.1.2.1.31.1.1.1.1.49 = Vl25
1.3.6.1.2.1.31.1.1.1.1.50 = Vl26
1.3.6.1.2.1.31.1.1.1.1.51 = Vl27
1.3.6.1.2.1.31.1.1.1.1.52 = Vl28
1.3.6.1.2.1.31.1.1.1.1.53 = Vl29
1.3.6.1.2.1.31.1.1.1.1.54 = Vl30
1.3.6.1.2.1.31.1.1.1.1.55 = Vl100
